name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
BLINKIN Women's Slim Fit Polyester Capri Pants,sports & fitness,Running,https://m.media-amazon.com/images/I/51DT4S-WxqS._AC_UL320_.jpg,https://www.amazon.in/BLINKIN-Insert-Active-Fitness-X-Large/dp/B07B3SVXJS/ref=sr_1_329?qid=1679217352&s=sports&sr=1-329,4.0,969,₹378,"₹1,680"
UZARUS Women's Cotton Regular Fit Joggers Track Pants with 3 Pockets,sports & fitness,Running,https://m.media-amazon.com/images/I/51F33uEAFPL._AC_UL320_.jpg,https://www.amazon.in/UZARUS-Womens-Regular-Joggers-Pockets/dp/B0BR3ZPXH8/ref=sr_1_330?qid=1679217352&s=sports&sr=1-330,3.8,52,₹499,"₹1,999"
Vimal Men's Trackpantss,sports & fitness,Running,https://m.media-amazon.com/images/I/513AablIIfL._AC_UL320_.jpg,https://www.amazon.in/VIMAL-Mens-Track-Pants-D10NAVY-XL_Navy/dp/B01AAWV074/ref=sr_1_331?qid=1679217352&s=sports&sr=1-331,3.7,"6,030",₹349,₹899
Campus Women's Annie Walking Shoes,sports & fitness,Running,https://m.media-amazon.com/images/I/61qoFeselSL._AC_UL320_.jpg,https://www.amazon.in/Campus-Womens-Annie-Walking-Shoes/dp/B09QXF56JM/ref=sr_1_332?qid=1679217352&s=sports&sr=1-332,3.9,457,₹965,"₹1,399"
Reebok Mens Travellar Lp Running Shoe,sports & fitness,Running,https://m.media-amazon.com/images/I/81v2LFRuOBL._AC_UL320_.jpg,https://www.amazon.in/Reebok-Mens-TRAVELLAR-Running-Shoes/dp/B08WD18N53/ref=sr_1_333?qid=1679217352&s=sports&sr=1-333,3.9,278,"₹1,614","₹2,799"
QUADA Compression Swimming t Shirt Full Sleevs for Men,sports & fitness,Running,https://m.media-amazon.com/images/I/51fbEVpi+ZL._AC_UL320_.jpg,https://www.amazon.in/QUADA-Compression-Swimming-Sleevs-Medium/dp/B07TFDHWTK/ref=sr_1_334?qid=1679217352&s=sports&sr=1-334,4.1,409,₹349,₹999
Puma Mens Zeta Running Shoes,sports & fitness,Running,https://m.media-amazon.com/images/I/51hY85g8ELL._AC_UL320_.jpg,https://www.amazon.in/Puma-19488703-PUMA-Zeta/dp/B08TM7SRJ7/ref=sr_1_335?qid=1679217352&s=sports&sr=1-335,4.2,489,"₹2,749","₹5,499"
Rock Paper Scissors Premium Flare Gym Pants High Waist Stretchable Flared Leggings with Pockets Gym wear/Active Wear Tight...,sports & fitness,Running,https://m.media-amazon.com/images/I/61TKoF7i-BL._AC_UL320_.jpg,https://www.amazon.in/Rock-Paper-Scissors-Stretchable-Leggings/dp/B0B75JG586/ref=sr_1_336?qid=1679217352&s=sports&sr=1-336,4.2,350,₹653,"₹1,749"
Van Heusen Men's Track Pants,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61IK6hKv-2L._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Track-Pants-50056_Black_L/dp/B083C2Z941/ref=sr_1_361?qid=1679217354&s=sports&sr=1-361,3.9,"1,812",₹917,"₹1,199"
HAP Women's Cotton Quilted Thermal 3/4th Sleeves Top and Trouser/Female Thermal/Ladies Thermal Set,sports & fitness,Running,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/51-dwQIPXVL._AC_UL320_.jpg,https://www.amazon.in/Hap-Womens-Top-Femalethermal_FS_DG_SET_L_charcoal-grey_Large/dp/B017MBDPT2/ref=sr_1_362?qid=1679217354&s=sports&sr=1-362,3.8,"2,599",₹699,"₹1,998"
